Photon Energy (GeV),Cross-section (mb)
0.188,0.0788
0.205,0.1189
0.223,0.1682
0.242,0.2024
0.26,0.3234
0.265,0.4245
0.279,0.3871
0.29,0.487
0.298,0.5042
0.315,0.5269
0.318,0.5326
0.337,0.5423
0.34,0.4778
0.357,0.4808
0.365,0.4066
0.377,0.411
0.39,0.3341
0.397,0.3119
0.415,0.2444
0.418,0.2496
0.438,0.2109
0.44,0.2245
0.459,0.1742
0.465,0.2005
0.481,0.1888
0.49,0.1783
0.502,0.1764
0.515,0.1769
0.524,0.1671
0.54,0.1869
0.546,0.1912
0.565,0.194
0.568,0.2185
0.59,0.2117
0.59,0.2091
0.613,0.2335
0.615,0.2226
0.636,0.2385
0.64,0.2327
0.659,0.2456
0.661,0.211
0.665,0.2395
0.682,0.2514
0.69,0.2646
0.706,0.2739
0.715,0.279
0.73,0.2891
0.74,0.2756
0.754,0.2866
0.765,0.2607
0.778,0.2751
0.79,0.2447
0.8,0.201
0.803,0.2587
0.815,0.2211
0.828,0.2316
0.84,0.2063
0.853,0.2299
0.865,0.2137
0.878,0.2266
0.89,0.2088
0.904,0.1998
0.915,0.2017
0.924,0.193
0.929,0.2336
0.94,0.205
0.956,0.2117
0.965,0.2015
0.982,0.221
0.99,0.2121
1.008,0.2324
1.015,0.2175
1.035,0.2234
1.04,0.2152
1.062,0.2416
1.065,0.1917
1.089,0.2324
1.09,0.1911
1.115,0.1747
1.117,0.2238
1.14,0.165
1.144,0.2079
1.15,0.1821
1.165,0.1587
1.172,0.1593
1.19,0.1622
1.2,0.1841
1.215,0.1496
1.229,0.1753
1.24,0.1486
1.258,0.1526
1.265,0.1438
1.286,0.1556
1.29,0.1556
1.315,0.15
1.315,0.1468
1.316,0.1806
1.34,0.1536
1.345,0.1599
1.365,0.1544
1.375,0.1643
1.39,0.1536
1.404,0.116
1.415,0.1468
1.435,0.1968
1.44,0.1535
1.45,0.1537
1.465,0.1708
1.465,0.1442
1.49,0.1515
1.495,0.1581
1.5,0.151
1.515,0.1559
1.526,0.1754
1.54,0.1541
1.557,0.165
1.565,0.1461
1.589,0.1637
1.59,0.1388
1.615,0.1565
1.62,0.164
1.64,0.1502
1.652,0.1417
1.665,0.1503
1.684,0.1423
1.69,0.1454
1.715,0.1389
1.74,0.1445
1.75,0.146
1.765,0.1425
1.79,0.1415
1.815,0.1424
1.84,0.1432
1.865,0.1486
1.89,0.1539
1.915,0.1354
1.92,0.115
1.94,0.148
1.965,0.1443
1.99,0.1435
2,0.1432
2.015,0.1491
2.04,0.1435
2.05,0.1485
2.065,0.138
2.09,0.1317
2.115,0.1445
2.14,0.1375
2.165,0.1449
2.19,0.1359
2.215,0.1383
2.24,0.139
2.253,0.1463
2.265,0.1361
2.29,0.1286
2.315,0.1359
2.34,0.1395
2.35,0.1442
2.365,0.1327
2.39,0.1387
2.415,0.1431
2.44,0.1403
2.465,0.1404
2.49,0.1389
2.5,0.134
2.515,0.141
2.54,0.1304
2.565,0.1363
2.59,0.1241
2.615,0.1284
2.64,0.1299
2.65,0.142
2.665,0.1325
2.69,0.1343
2.715,0.1387
2.74,0.1328
2.765,0.1444
2.79,0.1334
2.8,0.132
2.815,0.1362
2.84,0.1302
2.865,0.1338
2.888,0.1482
2.89,0.1339
2.895,0.111
2.915,0.1304
2.94,0.1314
2.95,0.1298
2.965,0.1287
2.99,0.1404
3.015,0.1383
3.04,0.1292
3.065,0.1436
3.09,0.128
3.115,0.1326
3.14,0.1321
3.165,0.1268
3.19,0.1278
3.215,0.1243
3.24,0.1239
3.25,0.1327
3.265,0.1271
3.27,0.1268
3.29,0.1213
3.315,0.1338
3.34,0.1287
3.365,0.1343
3.39,0.1231
3.415,0.1317
3.44,0.1214
3.465,0.137
3.49,0.1232
3.515,0.1301
3.54,0.1348
3.55,0.1272
3.565,0.1294
3.59,0.1278
3.59,0.1417
3.615,0.1227
3.64,0.1218
3.665,0.1198
3.69,0.1193
3.715,0.1342
3.74,0.1323
3.765,0.1248
3.79,0.122
3.815,0.1139
3.84,0.1271
3.85,0.1346
3.865,0.1224
3.89,0.1347
3.915,0.1249
3.94,0.1163
3.965,0.1362
3.99,0.1236
4,0.127
4.015,0.1462
4.04,0.1356
4.065,0.1198
4.07,0.1314
4.09,0.1419
4.115,0.1324
4.14,0.1288
4.15,0.1315
4.165,0.1336
4.19,0.1335
4.215,0.1266
4.359,0.1368
4.44,0.116
4.45,0.1247
4.7,0.127
4.75,0.1242
4.81,0.1218
5.05,0.1218
5.17,0.1281
5.195,0.1342
5.35,0.1221
5.65,0.1184
5.75,0.125
5.95,0.1236
6.097,0.1332
6.21,0.1159
6.25,0.1221
6.57,0.1219
7.065,0.134
7.5,0.126
7.5,0.122
7.79,0.1238
8.1,0.1252
8.43,0.12
9.202,0.1336
9.3,0.124
9.51,0.1141
9.83,0.1204
10.371,0.1304
10.71,0.1236
11.606,0.1283
12.49,0.1177
12.907,0.1193
13.61,0.1146
14.276,0.1121
15.7,0.1399
16.38,0.1136
18.3,0.11691
23.2,0.11537
27.7,0.11374
30.9,0.11434
31.4,0.11419
34.2,0.11484
36.5,0.11218
37.9,0.1135
43.9,0.11457
44.5,0.11484
48.4,0.11457
52.6,0.11425
54.9,0.11311
55.6,0.11406
64.30001,0.11481
67.9,0.11458
71.4,0.114
77.9,0.11402
82.4,0.11661
83.9,0.11589
98.6,0.11559
98.9,0.11585
109.1,0.11382
118.80001,0.11652
121.80001,0.11637
126,0.1143
142,0.1158
157.8,0.11978
172.19999,0.11637
182.69999,0.11849
1097.91418,0.128
1547.70471,0.146
3029.12817,0.148
9496.93066,0.152
21315,0.1653
23277,0.174
